Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
PAM;MAP TRANSPORTES AÉREOS LTDA.;9830;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;25/06/2022 11:20;25/06/2022 11:21;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;25/06/2022 12:30;25/06/2022 12:33;REALIZADO;;25/06/2022 00:00:00;Pontual;Pontual
PAM;MAP TRANSPORTES AÉREOS LTDA.;9832;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;25/06/2022 14:40;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;25/06/2022 15:50;;CANCELADO;;25/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9836;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;25/06/2022 18:00;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;25/06/2022 19:10;;CANCELADO;;25/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;26/06/2022 20:10;26/06/2022 21:40;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;26/06/2022 21:20;26/06/2022 22:52;REALIZADO;;26/06/2022 00:00:00;Atraso 60-120;Atraso 60-120
PAM;MAP TRANSPORTES AÉREOS LTDA.;9804;7;N;AT75;72;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;26/06/2022 10:52;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;26/06/2022 12:06;REALIZADO;;26/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9806;7;N;AT75;72;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;26/06/2022 14:17;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;26/06/2022 15:28;REALIZADO;;26/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9830;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;26/06/2022 16:20;26/06/2022 16:29;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;26/06/2022 17:30;26/06/2022 17:40;REALIZADO;;26/06/2022 00:00:00;Pontual;Pontual
PAM;MAP TRANSPORTES AÉREOS LTDA.;9832;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;26/06/2022 18:30;26/06/2022 17:46;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;26/06/2022 19:40;26/06/2022 19:10;REALIZADO;;26/06/2022 00:00:00;Antecipado;Antecipado
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/06/2022 18:00;27/06/2022 21:15;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/06/2022 19:10;27/06/2022 22:31;REALIZADO;;27/06/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;9804;7;N;AT75;72;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;28/06/2022 02:09;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;28/06/2022 03:16;REALIZADO;;27/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9806;7;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;28/06/2022 01:20;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;28/06/2022 02:27;REALIZADO;;27/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9830;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/06/2022 08:00;27/06/2022 10:12;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/06/2022 09:10;27/06/2022 11:20;REALIZADO;;27/06/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;9832;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/06/2022 11:20;27/06/2022 13:44;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/06/2022 12:30;27/06/2022 14:52;REALIZADO;;27/06/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;9834;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/06/2022 14:40;27/06/2022 17:27;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/06/2022 15:50;27/06/2022 18:45;REALIZADO;;27/06/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;9836;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/06/2022 17:15;27/06/2022 21:42;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/06/2022 18:25;27/06/2022 22:49;REALIZADO;;27/06/2022 00:00:00;Atraso >240;Atraso >240
PAM;MAP TRANSPORTES AÉREOS LTDA.;9838;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/06/2022 05:10;27/06/2022 10:00;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/06/2022 06:20;27/06/2022 11:09;REALIZADO;;27/06/2022 00:00:00;Atraso >240;Atraso >240
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;28/06/2022 19:10;28/06/2022 21:15;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;28/06/2022 20:20;28/06/2022 22:24;REALIZADO;;28/06/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;9830;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;28/06/2022 08:00;28/06/2022 08:15;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;28/06/2022 09:10;28/06/2022 09:23;REALIZADO;;28/06/2022 00:00:00;Pontual;Pontual
